197.json,637.0722680091858,4,06/02/2023 14:23:40
607.json,1613.8151741027832,4,06/02/2023 15:07:13
491.json,982.6256449222565,2,06/02/2023 15:36:37
322.json,178.70565104484558,4,06/02/2023 21:18:52
322.json,523.8438541889191,3,06/02/2023 22:25:25
459.json,1288.7184660434723,3,06/02/2023 22:46:54
151.json,351.41754388809204,4.1,06/02/2023 22:51:46
160.json,489.47131299972534,3,06/02/2023 22:55:03
49.json,470.03867411613464,3,06/02/2023 23:02:53
497.json,87850.36652779579,110522095,07/02/2023 10:24:43
160.json,87865.52304577827,110522095,07/02/2023 10:24:58
